
Front,Back
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    نعم  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (naʿam)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Yes  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    نعم، بحكي عربي.  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    naʿam, baHki ʿarabi.  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Yes, I speak Arabic.  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    “Naʿam” is formal; use it for polite or clear affirmations.  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    أيوه  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (eywa)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Yeah / Yes (casual)  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    أيوه، جاهز!  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    eywa, jaahiz!  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Yeah, I’m ready!  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    More laid‑back than “naʿam,” use “eywa” with friends or informal situations.  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    لا  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (la)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    No  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    لا، ما في مشكلة.  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    la, ma fi mushkila.  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    No, there’s no problem.  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    “La” is short and sharp – an easy way to refuse or negate.  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    يعني  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (yaʿani)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    I mean / like / you know  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    يعني، ما عندي وقت.  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    yaʿani, ma ʿandi waqt.  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Like, I don’t have time.  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    People use “yaʿani” as a filler – just like “you know” or “I mean.”  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    تمام  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (tamam)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Okay / Fine  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    تمام، خلينا نروح.  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    tamam, khalliina nrooH.  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    OK, let’s go.  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    “Tamam” is universal – think of giving a thumbs‑up and saying “ta‑mam!”  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    طيب  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (tayyib)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Fine / Good / Well  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    طيب، شو نعمل؟  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    tayyib, shoo naʿmil?  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Fine, what do we do?  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    “Tayyib” literally means “good” – use it to agree or move on.  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    طبعا  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (tabʿan)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Of course  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    طبعا، بنقدر نساعدك.  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    tabʿan, binqdar nisaaʿdak.  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Of course, we can help you.  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    Emphasize certainty by using “tabʿan” – it stresses that something is obvious.  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    أكيد  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (akeed)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Definitely / Sure  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    أكيد، رح أجي.  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    akeed, raH aaji.  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Definitely, I will come.  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    “Akeed” expresses certainty – as if there’s no doubt at all.  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    أبدا  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (abdan)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Never / Not at all  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    أبدا ما بنسى هذا اليوم.  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    abdan ma bansa haada elyom.  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    I will never forget this day.  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    Emphasize negation by adding “abdan” – absolutely not.  </div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    إن شاء الله  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (inshaa’ Allah)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    God willing / Hopefully  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    رح نزورك بكرا، إن شاء الله.  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    raH nzoorak bukra, inshaa’ Allah.  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    We will visit you tomorrow, God willing.  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    Always add “inshaa’ Allah” when talking about the future – it shows humility.  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    كيفك؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (keefak / keefek)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    How are you? (to a male/female)  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    مرحبا! كيفك اليوم؟  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    mar7aba! keefak el‑yom?  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Hi! How are you today?  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    “Keefak” (to a man) and “keefek” (to a woman) literally mean “how’s your state?”  </div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    كيف كل شي؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (keef kul shee?)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    How’s everything?  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    كيف كل شي معك؟  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    keef kul shee maʿak?  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    How’s everything with you?  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    “Kul shee” means “everything”; use this for a general check‑in.  </div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    شو الأخبار؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (shoo el‑akhbar?)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    What’s new? / What’s the news?  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    شو الأخبار عندك؟  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    shoo el‑akhbar ʿandak?  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    What’s new with you?  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    Ask for “akhbar” (news) to see what’s going on in someone’s life.  </div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    الحمد لله  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (al‑Hamdu lillah)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Praise be to God (I’m fine)  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    كيفك؟ – الحمد لله.  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    keefak? – al‑Hamdu lillah.  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    How are you? – I’m fine, praise God.  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    Use this humble answer instead of boasting – you’re giving thanks rather than bragging.  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    أنا منيح  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (ana mneeH / mneeHa)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    I’m good / fine  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>أنا منيح، شكرا!</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    ana mneeH, shukran!  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    I’m good, thank you!  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    “MneeH” (good) has the sound of “meh‑neeh” – smile as you say it.  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    ما شي حال  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (ma shee Haal)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    It’s OK / Things are alright  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    كيفك؟ – ما شي حال.  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    keefak? – ma shee Haal.  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    How are you? – Things are all right.  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    Use this when you’re neither great nor terrible – just steady.  </div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    كل شي تمام  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (kul shee tamam)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Everything’s fine  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    كل شي تمام عندي.  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    kul shee tamam ʿandi.  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Everything’s fine on my end.  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>&nbsp;    Combine “kul shee” (everything) with “tamam” to reassure someone all is well.  </div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    شو اسمك؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (shoo ismak / ismek?)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    What’s your name?  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    مرحبا، شو اسمك؟  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>mar7aba, shoo ismak?  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Hello, what’s your name?  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    “Shoo” means “what,” and “ismak/ismek” means “your name.” Easy!  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    اسمي...  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (ismi ...)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    My name is …  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    اسمي أحمد.  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    ismi Ahmad.  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>My name is Ahmad.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    “Ismi” is literally “my name.” Insert your name right after it.  </div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    من وين أنت؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (min weyn enta / enti?)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Where are you from?</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>من وين أنت؟</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>min weyn enta?</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Where are you from?</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>“Weyn” means “where,” so you’re literally asking “from where you?”</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    أنا من…  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (ana min …)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>I’m from …</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>أنا من فلسطين.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>ana min Falasteen.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>I’m from Palestine.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Just like English, say “ana min…” and add your country or city.</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    أديش عمرك؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (addeesh ʿomrak / ʿomrek?)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    How old are you?  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>أديش عمرك؟</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>addeesh ʿomrak?</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>How old are you?</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>“ʿUmr” means “age/life,” and “addeesh” means “how much” – literally “how much is your age?”</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    عمري…  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (ʿomri …)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    I am … years old  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>عمري ثلاثين سنة.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>ʿomri thalaatheen saneh.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>I am thirty years old.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>To answer, start with “ʿomri” and add the number and “saneh” (years).</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    شو بتشتغل؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (shoo btashtaghl / btashtagheli?)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>What do you do? (job)</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>شو بتشتغل؟</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>shoo btashtaghl?</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>What’s your job?</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>“Btashtaghl” comes from “shaGHal” (work) – you’re asking “what do you work?”</div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    شو عملك؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (shoo ʿamlak / ʿamlek?)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>What’s your work? (job)</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>شو عملك بهالشركة؟</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>shoo ʿamlak bi hayy shirké?</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>What’s your job in this company?</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>“ʿAmal” means work – you’re asking “what is your work?”</div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    أنت ساكن وين؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (enta saaken weyn? / enti saakneh weyn?)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Where do you live?</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>أنت ساكن وين؟</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>enta saaken weyn?</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Where do you live?</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>“Saaken” means living – you’re asking literally “you live where?”</div></div>
