Front,Back,Tags
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>لوين؟</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(la-wēn?)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>to where?</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>لوين رايح؟</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>la-wēn rāyeḥ?</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>Where are you going?</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>مع مين؟</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(maʿ mīn?)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>with who?</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>مع مين كنت؟</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>maʿ mīn kent?</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>Who were you with?</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>شو في؟</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(shū fī?)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>what’s wrong / what’s up?</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>شو في معك؟</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>shū fī maʿak?</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>What’s up with you?</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>أي واحد؟</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ayy wāḥad?)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>which one?</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أي واحد بدك؟</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ayy wāḥad baddak?</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>Which one do you want?</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بدي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(baddi)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I want</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>بدي قهوة</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>baddi ʔahwe</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I want coffee</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بدك</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(baddak)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>you want (masc.)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>شو بدك؟</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>shū baddak?</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>What do you want?</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بدكِ</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(baddik)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>you want (fem.)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>إنتِ بدك مي؟</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>enti baddik may?</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>Do you want water?</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بدو</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(baddo)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>he wants</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>هو بدو يروح</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>huwwe baddo yrūḥ</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>He wants to go</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بدها</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(baddha)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>she wants</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>هي بدها تاكل</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>hiyye baddha taʔkol</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>She wants to eat</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بدنا</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(baddna)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>we want</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>بدنا نروح</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>baddna nrūḥ</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>We want to go</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بدي أتعلم عربي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(baddi ʔitʿallam ʿarabi)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I want to learn Arabic</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>بدي أتعلم عربي شوي شوي</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>baddi ʔitʿallam ʿarabi shway shway</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I want to learn Arabic little by little</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بدي اسأل سؤال</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(baddi isʔal suʔāl)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I want to ask a question</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>بدي اسأل سؤال صغير</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>baddi isʔal suʔāl zghīr</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I want to ask a small question</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>ما بدي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ma baddi)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I don’t want</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ما بدي أكل هلق</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ma baddi ʔokel hallaʔ</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I don’t want to eat now</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بدّي منك شوية مساعدة</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(baddi منك shwayyet musāʿade)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I want a little help from you</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>بدّي منك شوية مساعدة</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>baddi منك shwayyet musāʿade</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I want a little help from you</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>عندي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ʿandī)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I have</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>عندي وقت</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ʿandī waʔt</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I have time</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>عندك</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ʿandak)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>you have (masc.)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>عندك قلم؟</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ʿandak ʔalam?</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>Do you have a pen?</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>عندِك</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ʿandik)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>you have (fem.)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>عندِك سيارة؟</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ʿandik sayyāra?</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>Do you have a car?</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>عندو</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ʿando)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>he has</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>عندو شغل</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ʿando sheghel</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>He has work</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>عندها</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ʿandha)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>she has</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>عندها امتحان</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ʿandha imtiḥān</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>She has an exam</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>عندنا</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ʿandna)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>we have</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>عندنا صف اليوم</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ʿandna ṣaff il-yōm</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>We have class today</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>ما عندي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ma ʿandī)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I don’t have</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ما عندي مصاري</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ma ʿandī maṣāri</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I don’t have money</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>عندي سؤال</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ʿandī suʔāl)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I have a question</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>عندي سؤال صغير</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ʿandī suʔāl zghīr</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I have a small question</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>عندي مشكلة</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ʿandī mushkle)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I have a problem</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>عندي مشكلة بالتلفون</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ʿandī mushkle bit-tilifōn</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I have a problem with the phone</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>عندك وقت؟</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ʿandak waʔt?)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>do you have time?</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>عندك وقت هلق؟</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ʿandak waʔt hallaʔ?</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>Do you have time now?</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>عم بدرس</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ʿam bdrus)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I am studying</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا عم بدرس عربي</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ana ʿam bdrus ʿarabi</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I’m studying Arabic</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>عم باكل</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ʿam bākol)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I am eating</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا عم باكل هلق</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ana ʿam bākol hallaʔ</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I’m eating now</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>عم بشرب</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ʿam bashrab)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I am drinking</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا عم بشرب قهوة</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ana ʿam bashrab ʔahwe</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I’m drinking coffee</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>عم بسمع</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ʿam basmaʿ)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I am listening</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا عم بسمع موسيقى</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ana ʿam basmaʿ mūsīʔa</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I’m listening to music</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>عم بحكي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ʿam bḥki)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I am speaking</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا عم بحكي مع صاحبتي</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ana ʿam bḥki maʿ ṣāḥbti</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I’m talking with my friend</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>عم بروح</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ʿam brūḥ)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I am going</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا عم بروح عالبيت</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ana ʿam brūḥ ʿal-bēt</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I’m going home</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>عم بجي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ʿam biji)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I am coming</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا عم بجي هلق</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ana ʿam biji hallaʔ</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I’m coming now</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>عم بشتغل</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ʿam bishtaghel)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I am working</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا عم بشتغل من البيت</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ana ʿam bishtaghel min il-bēt</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I’m working from home</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>عم بتعلّم</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ʿam btaʿallam)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I am learning</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا عم بتعلّم عربي</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ana ʿam btaʿallam ʿarabi</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I’m learning Arabic</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>شو عم تعمل؟</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(shū ʿam taʿmel?)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>what are you doing?</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>شو عم تعمل هلق؟</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>shū ʿam taʿmel hallaʔ?</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>What are you doing now?</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>فيني</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(fīnī)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I can</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>فيني ساعدك</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>fīnī sāʿdak</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I can help you</div>
</div>",levantine-arabic sentence-engine v2
